step,opponent,draw_prob,winner,rank_sent,rank_opp,score_sent,sigma_sent,cost,llm_name
0,and/or,0.5750856067304788,"['and/or', 'and/or', 'and/or', 'and/or']",37,17,15.522267706188352,4.5990673775004485,0.0032893999999999996,all
1,versus,0.7815183759019406,"['versus', 'SENT', 'SENT', 'versus']",37,36,15.65104836520418,2.984598953988944,0.0032418000000000004,all
2,versus,0.8826255327225957,"['versus', 'SENT', 'versus', 'versus']",38,36,14.157126771525615,2.369308922803911,0.00324595,all
3,possibility,0.9024867482860581,"['SENT', 'SENT', 'SENT', 'SENT']",36,38,16.68374097860137,2.019666351459782,0.0033176000000000004,all
4,versus,0.9239653338301536,"['versus', 'SENT', 'versus', 'versus']",37,36,15.606165963770437,1.7857411452535148,0.0032384000000000002,all
5,versus,0.9452538752622291,"['versus', 'versus', 'versus', 'SENT']",38,36,14.922648516774194,1.6236530276515793,0.0032902499999999998,all
6,possibility,0.9502879999290668,"['possibility', 'SENT', 'SENT', 'SENT']",37,38,15.589528591305404,1.4988476318486852,0.00336065,all
7,versus,0.9568748957156425,"['versus', 'SENT', 'SENT', 'versus']",37,36,15.607905127932032,1.400974969907095,0.0032479,all
8,possibility,0.9595377870175704,"['SENT', 'SENT', 'SENT', 'SENT']",36,38,16.510279744338185,1.3256610789359156,0.00322325,all
9,difficult to exclude,0.9466026266030938,"['difficult to exclude', 'SENT', 'SENT', 'SENT']",36,35,17.070723103638716,1.2581471359483343,0.0032755500000000003,all
10,difficult to exclude,0.9617445918813217,['SENT'],36,35,17.29602200321821,1.243004567803575,0.001683,Claude
11,difficult to exclude,0.9652117410478706,['SENT'],36,35,17.50991191686835,1.2287186254475069,0.0001623,Gemini
12,difficult to exclude,0.967286432255838,['SENT'],35,36,17.713383151269216,1.2152205924996686,0.0,MedGemma
13,difficult to exclude,0.9681492309927039,['difficult to exclude'],36,35,17.518417677993096,1.2024132078980119,0.0,MedGemma
14,cannot be excluded,0.9657751094776015,['SENT'],35,34,17.719866029246298,1.189771415421878,0.001701,Claude
15,cannot be excluded,0.9679377277473417,['SENT'],35,34,17.91218677487682,1.177793665214847,0.00174,Claude
16,cannot be excluded,0.9690103455022065,['SENT'],34,35,18.096098236043836,1.1664316660372058,0.0,MedGemma
17,cannot be excluded,0.9691242766182192,['SENT'],34,35,18.272242510620536,1.155641900105311,0.001773,Claude
18,not excluded,0.9698197388425486,['not excluded'],34,33,18.097240693179376,1.1451767912096575,0.0014190000000000001,GPT
19,cannot be excluded,0.9697646590646458,['SENT'],34,35,18.267141136534157,1.1351617088493593,0.0017940000000000002,Claude
20,not excluded,0.9704290217377206,['not excluded'],34,33,18.09826263204401,1.1254387106491162,0.0014327500000000002,GPT
21,not excluded,0.9700812192616042,['SENT'],34,33,18.270655947061357,1.115857460363014,0.001722,Claude
22,not excluded,0.9710066713115698,['SENT'],33,34,18.436433964459773,1.1067321650551476,0.001722,Claude
23,not excluded,0.9711534901832531,['not excluded'],34,33,18.272115852914443,1.0978851798822775,0.0014162500000000002,GPT
24,or,0.9323318059072683,['or'],34,32,18.147500377981316,1.090641480142061,0.00138875,GPT
25,or,0.9267827519236079,['or'],34,32,18.026792745967718,1.083710852466039,0.0014355,GPT
26,or,0.9210597422953336,['or'],35,32,17.909766692949052,1.0770761617752465,0.0016740000000000001,Claude
27,or,0.9151904342362608,['SENT'],34,32,18.10870874769555,1.0680799674102188,0.0014520000000000002,GPT
28,or,0.9254778040093445,['or'],34,32,17.993543029973974,1.0618426547892,0.0014355,GPT
29,potentially,0.9063441840568858,['SENT'],34,31,18.190793682899162,1.0533040634433743,0.0001605,Gemini
30,potentially,0.9172834739816044,['potentially'],34,31,18.081649069311524,1.0476055138296925,0.0,MedGemma
31,potentially,0.911569716907415,['potentially'],34,31,17.975480252764783,1.0421402713670456,0.00143,GPT
32,potentially,0.9057570462557482,['SENT'],34,31,18.166041224490833,1.0342831160316928,0.00171,Claude
33,potentially,0.9164173830256971,['SENT'],33,31,18.34983857628527,1.0267814846052432,0.0001605,Gemini
34,could reflect,0.9186613874540928,['could reflect'],34,30,18.245728213888878,1.0218061439826378,0.0014190000000000001,GPT
35,could reflect,0.9132458161699485,['could reflect'],34,30,18.144261640426766,1.0170304327154525,0.0,MedGemma
36,could reflect,0.9077346396465308,['SENT'],34,30,18.325262734894675,1.0100454812463742,0.0001637,Gemini
37,could reflect,0.9177546149180387,['could reflect'],34,30,18.224847692746508,1.0055324534241472,0.0016890000000000002,Claude
38,could reflect,0.9124657927230553,['could reflect'],34,30,18.12685702199214,1.001198483856018,0.001386,GPT
39,could represent,0.8847789350414564,['SENT'],34,29,18.310067885743177,0.9945758992732826,0.0001602,Gemini
40,could represent,0.8963869950080302,['could represent'],34,29,18.218367529993102,0.990690666675226,0.0,MedGemma
41,could represent,0.8908024065341447,['could represent'],34,29,18.12870067633808,0.9869570064009497,0.0,MedGemma
42,could represent,0.88517432070699,['SENT'],34,29,18.306825036866602,0.9807981990497187,0.00016189999999999998,Gemini
43,could represent,0.8964674149824549,['could represent'],34,29,18.217656458173,0.9772580562834119,0.0,MedGemma
